I
1050 Generated by WorldEditor

1   1026 1 0 EDGW Wolfhagen
100 30.00 3 0 0.00 0 0 0 15  51.30918100  009.17322900    0    0 0 0 0 0 33  51.30536400  009.17705500    0    0 0 0 0 0
110 1 0.00 0.0000 New Taxiway 77
111  51.30759757  009.17394602
111  51.30752958  009.17403501
111  51.30748632  009.17399546
111  51.30720818  009.17433162
111  51.30721024  009.17442389
112  51.30712165  009.17441730  51.30707014  009.17431843
111  51.30712165  009.17427888
111  51.30715255  009.17417013
111  51.30708250  009.17410751
111  51.30702481  009.17419979
111  51.30707632  009.17427229
112  51.30708662  009.17444367  51.30714431  009.17457220
111  51.30725762  009.17446344
113  51.30763054  009.17401853
110 1 0.00 0.0000 New Taxiway 76
111  51.30693828  009.17455901
111  51.30675697  009.17473368
111  51.30680642  009.17490835
113  51.30700627  009.17474687
110 3 0.00 20.0000 New Taxiway 81
111  51.30601392  009.17492069
111  51.30496172  009.17673534
111  51.30494996  009.17730888
111  51.30512043  009.17764737
111  51.30559657  009.17740290
111  51.30954675  009.17342564
111  51.30947621  009.17295550
111  51.30915879  009.17260760
111  51.30831232  009.17304953
111  51.30759833  009.17392868
111  51.30701362  009.17443984
113  51.30650823  009.17458485
130 Airport Boundary 80
111  51.30955114  009.17224777
111  51.30810295  009.17283760
111  51.30602419  009.17477801
111  51.30464013  009.17646190
111  51.30451722  009.17786367
111  51.30539362  009.17764999
111  51.30676164  009.17652174
111  51.30893659  009.17435062
113  51.30981833  009.17314535
120 Linear Feature 79
111  51.30767682  009.17388250 20
111  51.30772337  009.17398881 20
111  51.30765905  009.17406082 20
113  51.30761220  009.17395549 20
14  51.30705772  009.17446115   9.84 0 New Tower Viewpoint 292
1300  51.30681716  009.17484111  65.77 tie_down props Ramp start 2
1301 B none 
1300  51.30694818  009.17473095  65.77 tie_down props Ramp start 1
1301 B none 
54 12745 Wolfhagen Info
1200 
1201  51.30900597  009.17288669 both 0 _stop
1201  51.30524686  009.17670508 both 1 _stop
1201  51.30730606  009.17460406 both 2 _stop
1201  51.30536731  009.17704728 both 3 15/33_start
1201  51.30917578  009.17322823 both 4 15/33_stop
1202 3 1 twoway taxiway_E 
1204 departure 15,33
1204 arrival 15,33
1202 1 2 twoway taxiway_E 
1202 2 0 twoway taxiway_E 
1202 4 0 twoway taxiway_E 
1204 departure 15,33
1204 arrival 15,33
1202 3 4 twoway runway 15/33
1204 departure 15,33
1204 arrival 15,33
1204 ils 15,33
99
